"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]","Average temperature [°C]"
"Kuopio keskusta","2004","2","7","02:00","-","-9.6"
"Kuopio keskusta","2004","2","8","02:00","-","-16.8"
"Kuopio keskusta","2004","2","9","02:00","-","-14.8"
"Kuopio keskusta","2004","2","10","02:00","-","-16.6"
"Kuopio keskusta","2004","2","11","02:00","-","-18.7"
"Kuopio keskusta","2004","2","12","02:00","-","-18.6"
"Kuopio keskusta","2004","2","13","02:00","-","-6.7"
"Kuopio keskusta","2004","2","14","02:00","-","-1.4"
"Kuopio keskusta","2004","2","15","02:00","-","-2.4"
"Kuopio keskusta","2004","2","16","02:00","-","-7"
"Kuopio keskusta","2004","2","17","02:00","-","-11.1"
"Kuopio keskusta","2004","2","18","02:00","-","-15.6"
"Kuopio keskusta","2004","2","19","02:00","-","-11.6"
"Kuopio keskusta","2004","2","20","02:00","-","-0.9"
"Kuopio keskusta","2004","2","21","02:00","-","1.4"
"Kuopio keskusta","2004","2","22","02:00","-","-2.4"
"Kuopio keskusta","2004","2","23","02:00","-","-5"
"Kuopio keskusta","2004","2","24","02:00","-","-11.2"
"Kuopio keskusta","2004","2","25","02:00","-","-7.4"
"Kuopio keskusta","2004","2","26","02:00","-","-3.4"
"Kuopio keskusta","2004","2","27","02:00","-","-2.2"
"Kuopio keskusta","2004","2","28","02:00","-","-4.2"
"Kuopio keskusta","2004","2","29","02:00","-","-8.9"
"Kuopio keskusta","2004","3","1","02:00","-","-4.9"
"Kuopio keskusta","2004","3","2","02:00","-","-8.3"
"Kuopio keskusta","2004","3","3","02:00","-","-8.1"
"Kuopio keskusta","2004","3","4","02:00","-","-7.3"
"Kuopio keskusta","2004","3","5","02:00","-","-10.9"
"Kuopio keskusta","2004","3","6","02:00","-","-11.4"
"Kuopio keskusta","2004","3","7","02:00","-","-9"
"Kuopio keskusta","2004","3","8","02:00","-","-2"
"Kuopio keskusta","2004","3","9","02:00","-","-11"
"Kuopio keskusta","2004","3","10","02:00","-","-4.8"
"Kuopio keskusta","2004","3","11","02:00","-","-3.6"
"Kuopio keskusta","2004","3","12","02:00","-","-6.8"
"Kuopio keskusta","2004","3","13","02:00","-","-8"
"Kuopio keskusta","2004","3","14","02:00","-","-3.1"
"Kuopio keskusta","2004","3","15","02:00","-","0.3"
"Kuopio keskusta","2004","3","16","02:00","-","1.6"
"Kuopio keskusta","2004","3","17","02:00","-","1.7"
"Kuopio keskusta","2004","3","18","02:00","-","0.7"
"Kuopio keskusta","2004","3","19","02:00","-","0.9"
"Kuopio keskusta","2004","3","20","02:00","-","1.1"
"Kuopio keskusta","2004","3","21","02:00","-","0.6"
"Kuopio keskusta","2004","3","22","02:00","-","-0.7"
"Kuopio keskusta","2004","3","23","02:00","-","-0.7"
"Kuopio keskusta","2004","3","24","02:00","-","-0.8"
"Kuopio keskusta","2004","3","25","02:00","-","-1"
"Kuopio keskusta","2004","3","26","02:00","-","-2.5"
"Kuopio keskusta","2004","3","27","02:00","-","-2.1"
"Kuopio keskusta","2004","3","28","02:00","-","1.1"
"Kuopio keskusta","2004","3","29","03:00","-","1.5"
"Kuopio keskusta","2004","3","30","03:00","-","2.7"
"Kuopio keskusta","2004","3","31","03:00","-","-1.1"
"Kuopio keskusta","2004","4","1","03:00","-","-5"
"Kuopio keskusta","2004","4","2","03:00","-","-4.4"
"Kuopio keskusta","2004","4","3","03:00","-","1.6"
"Kuopio keskusta","2004","4","4","03:00","-","-0.6"
"Kuopio keskusta","2004","4","5","03:00","-","0.6"
"Kuopio keskusta","2004","4","6","03:00","-","1.6"
"Kuopio keskusta","2004","4","7","03:00","-","1.9"
"Kuopio keskusta","2004","4","8","03:00","-","2.5"
"Kuopio keskusta","2004","4","9","03:00","-","2.4"
"Kuopio keskusta","2004","4","10","03:00","-","1.4"
"Kuopio keskusta","2004","4","11","03:00","-","1.4"
"Kuopio keskusta","2004","4","12","03:00","-","2.2"
"Kuopio keskusta","2004","4","13","03:00","-","2.5"
"Kuopio keskusta","2004","4","14","03:00","-","1.5"
"Kuopio keskusta","2004","4","15","03:00","-","2.9"
"Kuopio keskusta","2004","4","16","03:00","-","4"
"Kuopio keskusta","2004","4","17","03:00","-","6.7"
"Kuopio keskusta","2004","4","18","03:00","-","6.6"
"Kuopio keskusta","2004","4","19","03:00","-","7.7"
"Kuopio keskusta","2004","4","20","03:00","-","6.5"
"Kuopio keskusta","2004","4","21","03:00","-","3.3"
